ID,Title,Software Path,Number of changes,,Software Path,Number of bugs
143783,Drop 8 - Sanity - Trans isn't available msg while trying to recall trans on 3rd time,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersSaveResponseBuilder.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersRetriever.cs,4
87678,R10Auto:tax discount cacel,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersTaxParameters.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/ParameterData/TaxExemptionParametersUpdater.cs,4
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterData/TaxParametersUpdater.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupResponseBuilder.cs,4
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0/Writer/TransactionForRetailTransacitonLogVisitor.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParametersLookup.cs,4
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParameters.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParametersSave.cs,4
87678,R10Auto:tax discount cacel,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParametersSave.cs,4,,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/ServiceHost/Tests/Retalix.StoreServer.Model.Test/Selling/Resume/RetailTransactionForResumeShould.cs,3
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupService.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0/Writer/IArtsTransactionUpdateVisitor.cs,3
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/Arts/GovernmentProgramsParameters.cs,4,,/R10/Main/Trunk/Components/Regional/US/Tax/Office/Src/USTax/Web/ViewModels/TaxRate/DataMapping/TaxRateExtendedMapper.cs,3
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupRequestAdaptor.cs,4,,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0,3
87678,R10Auto:tax discount cacel,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/TaxExemptionParameters/Maintenance/ParameterSave/TaxExemptionParametersRetriever.cs,4,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/ServiceHost/Tests/Retalix.StoreServer.Model.Test/Selling/SecurityScale/SecurityScaleLearningModeShould.cs,3
